FULFILL_DATE,CF_ID,CF_NAME,TRANSPORT_MODE,INCOTERM,LOADING_PORT,DISCHARGING_PORT,LOADING_COUNTRY,DISCHARGING_COUNTRY,CLIENT,SUPPLIER,LINE_KEY,id_CARTON,consolidated_fulfillment_CARTON,CUSTRECORD_CARTON_INFO_ITEM,NUMBER_OF_CARTONS,GROSS_WEIGHT_PER_CARTON,WEIGHT_OF_FREIGHT_KG,size_length_CARTON,size_width_CARTON,size_height_CARTON,TOTAL_CBM,cbm_total_CARTON,SHIPPED_QTY,SUB_TRANSPORT_MODE,DISTANCE_TRAVELLED_KM,YEAR
2023-05-30T00:00:00Z,4982,CF-HK-23050209,Sea,DDP,"Yantian, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,Guangdong ShengYiLong House Product Technology Limited,4804_1669777495108_32000,9649,4982,9340,167,2.5,417.5,33,14,20,0.0092,1.54308,2004,Sea,18207,2023
2023-05-30T00:00:00Z,4984,CF-HK-23050211,Sea,DDP,"Yantian, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,Guangdong ShengYiLong House Product Technology Limited,4804_1678758477557_73136,9654,4984,10058,51,4.2,214.20000000000002,46.5,16,35,0.026,1.32804,306,Sea,18207,2023
2023-05-30T00:00:00Z,4984,CF-HK-23050211,Sea,DDP,"Yantian, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,Guangdong ShengYiLong House Product Technology Limited,4804_1678758477557_64409,9653,4984,10057,100,5.1,509.99999999999994,47,24,30,0.0338,3.384,200,Sea,18207,2023
2023-05-30T00:00:00Z,4986,CF-HK-23050213,Sea,DDP,"Yantian, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,Guangdong ShengYiLong House Product Technology Limited,4804_1678176537515_79278,9658,4986,7268,584,4.3,2511.2,40,29,31,0.036,21.00064,7008,Sea,18207,2023
2023-05-30T00:00:00Z,4986,CF-HK-23050213,Sea,DDP,"Yantian, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,Guangdong ShengYiLong House Product Technology Limited,4804_1678176537515_81905,9657,4986,7267,584,4.3,2511.2,40,29,31,0.036,21.00064,7008,Sea,18207,2023
2023-05-30T00:00:00Z,4989,CF-HK-23050216,Sea,DDP,"Yantian, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,null,4804_1677483103359_21507,9662,4989,7272,807,5.2,4196.400000000001,41.5,30,31.8,0.0396,31.949937,9684,Sea,18207,2023
2023-05-30T00:00:00Z,4991,CF-HK-23050218,Sea,DDP,"Yantian, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,Guangdong ShengYiLong House Product Technology Limited,4804_1678760156576_89068,9669,4991,9590,417,3.5,1459.5,32,21.5,24,0.0165,6.885504,2502,Sea,18207,2023
2023-05-30T00:00:00Z,4991,CF-HK-23050218,Sea,DDP,"Yantian, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,Guangdong ShengYiLong House Product Technology Limited,4804_1678760156576_48921,9668,4991,10055,417,2.3,959.0999999999999,25.5,16.5,13.7,0.0058,2.40370268,2502,Sea,18207,2023
2023-05-30T00:00:00Z,4991,CF-HK-23050218,Sea,DDP,"Yantian, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,Guangdong ShengYiLong House Product Technology Limited,4804_1678760156576_60900,9667,4991,9778,417,3,1251,31.5,22,23.5,0.0163,6.7910535,2502,Sea,18207,2023
2023-05-30T00:00:00Z,4992,CF-HK-23050219,Sea,DDP,"Kong, Hong, China","Rotterdam, Netherlands",China,Netherlands,DOUGLAS COSMETICS GMBH - S,"Zhongshan Domiline Cosmetics Co., Ltd.",15447_1677242262520_28179,9671,4992,9936,302,5.7973,1750.7846,26,24.2,26.9,0.0169,5.11149496,21744,Sea,null,2023
2023-05-30T00:00:00Z,4992,CF-HK-23050219,Sea,DDP,"Kong, Hong, China","Rotterdam, Netherlands",China,Netherlands,DOUGLAS COSMETICS GMBH - S,"Zhongshan Domiline Cosmetics Co., Ltd.",15447_1677242262520_50769,9670,4992,9932,588,6.95,4086.6,31,22,24.9,0.017,9.9852984,21168,Sea,null,2023
2023-05-31T00:00:00Z,4997,CF-HK-23050224,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1676963951900_45689,9683,4997,6128,1406,7.82,10994.92,60,17,23,0.0235,32.98476,140600,Sea,18411,2023
2023-05-31T00:00:00Z,4999,CF-HK-23050226,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1676964436532_32812,9685,4999,6132,994,5.4,5367.6,60,17,17,0.0173,17.23596,198800,Sea,18411,2023
2023-05-31T00:00:00Z,5002,CF-HK-23050229,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1676962236540_7816,9688,5002,6128,1406,7.82,10994.92,60,17,23,0.0235,32.98476,140600,Sea,18411,2023
2023-05-31T00:00:00Z,5006,CF-HK-23050233,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1676964266651_85875,9692,5006,6132,994,5.4,5367.6,60,17,17,0.0173,17.23596,198800,Sea,18411,2023
